,Unnamed: 0,name,1shot_loss,0shot_loss
0,0,0CnQ-_e5Sl8_1.50000_3.23333,28.495779,596.40906
1,1,0CnQ-_e5Sl8_4.63333_7.16667,150.08665,56.125072
2,2,0dZohHw4j_U_6.50000_10.00000,64.471596,196.86943
3,3,1KKLVWl9FPE_7.80000_10.00000,10.970565,20.92178
4,4,1pcMlkxdxzs_0.00000_10.00000,241.47705,2687.3818
5,5,1q_O0aQGIDc_0.00000_2.70833,203.95918,315.83795
6,6,1v8uiFp8SMY_1.16784_2.23557,481.50647,949.9688
7,7,1v8uiFp8SMY_4.07074_4.97164,202.55614,1110.8613
8,8,1v8uiFp8SMY_5.03837_6.00601,2.1632323,94.65132
9,9,1v8uiFp8SMY_8.34168_9.27594,77.06847,961.0429
10,10,11PyjUjkXh4_0.00000_9.97664,105.97071,68.14227
11,11,159j6-j6okU_0.00000_6.07274,412.20776,345.4965
12,12,159j6-j6okU_6.10611_8.70871,60.12895,185.72078
13,13,198vC1u8dUQ_0.00000_3.40489,307.7743,964.63055
14,14,2Pg5MZReFQQ_3.97064_9.97664,307.98087,991.6573
15,15,2ThmlbRQQtY_0.00000_6.93333,72.16958,86.97983
16,16,2ThmlbRQQtY_6.96667_10.00000,97.982285,278.7165
17,17,2U42k7qiDnw_5.06667_10.00000,67.6416,68.383705
18,18,2VK9_8vPQeg_6.17284_9.97664,127.04705,288.98257
19,19,2gkOOA90ZEM_0.00000_3.06974,112.05251,20.230068
20,20,2-nCcYuddL8_1.76844_9.97664,12.682068,225.90602
21,21,3DnwxzrSnK4_0.00000_2.70000,58.932297,513.10675
22,22,3DnwxzrSnK4_4.16667_9.26667,38.372128,46.66518
23,23,3DnwxzrSnK4_9.40000_10.00000,12.86252,899.2051
24,24,3G_4C-KD2Jw_6.00000_10.00000,113.99974,1201.6288
25,25,3KjoX0Oe9uE_0.00000_3.45833,27.42192,55.184856
26,26,3Q0K84jmKKA_0.00000_9.53333,202.44965,1189.979
27,27,3XL1RKxHR-s_0.00000_2.00000,230.92409,87.30083
28,28,3Z6ysjoOc5M_0.00000_9.96000,55.303886,416.31943
29,29,3iC4t_EBnCM_0.00000_2.93333,76.016075,213.37317
30,30,3oWUewKpaCA_0.00000_2.56924,104.16082,37.449787
31,31,3rVCc5v7jKk_1.50000_8.90000,105.246414,232.19736
32,32,3tIXySyb2Vw_0.00000_2.20000,106.88539,129.11272
33,33,3tIXySyb2Vw_2.23333_9.00000,207.49796,955.1108
34,34,34ae-wS62uc_5.16000_10.00000,343.196,2883.5884
35,35,37aOBG_2Y-4_0.00000_9.94328,277.6412,277.21906
36,36,4ANJ84KkegU_0.00000_1.60000,38.628983,18.634247
37,37,4ANJ84KkegU_6.84000_10.00000,177.84306,424.86676
38,38,4A7PZytxFUA_0.00000_9.20000,156.35048,708.53217
39,39,4BwEahz5rFo_0.00000_1.43333,25.058449,1191.9073
40,40,4GoTB1SMhZU_4.13333_10.00000,70.895874,125.67837
41,41,4Io8RRe3IAM_0.00000_3.90390,327.56696,257.57452
42,42,4Io8RRe3IAM_3.93727_8.27494,97.23575,106.28741
43,43,4KAeogmQ5VA_0.00000_10.00000,95.11176,340.72537
44,44,4QTj-_ZgJPI_7.70000_10.00000,20.339382,158.28354
45,45,4TBEIoRryq0_0.00000_1.66667,36.699062,68.93382
46,46,4TBEIoRryq0_1.70000_8.13333,109.591324,272.89307
47,47,4c4e5ps9SrE_2.53333_7.26667,500.7885,508.5387
48,48,4gqqaj_8oYw_2.16884_8.44177,230.23035,401.2245
