,Unnamed: 0,name,0shot_loss,1shot_loss
0,0,APkos_Kqa3M_0.00000_9.97664,96.96108,101.67425
1,1,AaTvErday_s_0.90000_10.00000,50.16919,43.7429
2,2,AnEm66_ZHvQ_1.00100_9.80981,101.19227,95.83073
3,3,AsJgDPLu_ro_0.00000_1.46814,27.710709,5.342451
4,4,AsJgDPLu_ro_5.63897_9.87654,59.762436,66.20621
5,5,BuhAROfTtx8_3.32762_9.98286,87.42481,84.28191
6,6,C-X1eJftb-g_0.00000_9.97664,12.995399,18.042805
7,7,DMc9Jkvwc_s_0.00000_2.40000,58.05904,26.679243
8,8,DMc9Jkvwc_s_2.73333_9.23333,509.91284,27.557184
9,9,DkonD7QOe64_0.00000_1.30130,146.4144,54.71687
10,10,DkonD7QOe64_1.60160_9.22589,197.39464,40.19605
11,11,D5Ge91h0XZw_0.00000_6.63333,913.32574,55.863586
12,12,EKEJHzTW53s_7.40000_9.86667,126.92012,59.186474
13,13,EKEJHzTW53s_0.00000_2.66667,222.44011,65.25123
14,14,E2iBgyvSZ9U_0.00000_4.25000,60.065548,20.9723
15,15,FGsndIt1TW4_1.33467_9.97664,171.1341,236.2424
16,16,FQaVcc3dH40_0.00000_3.50350,39.614685,7.1919956
17,17,F-8dgkZaeIk_5.08333_10.00000,11.254942,12.868976
18,18,GWOuD3bwuEs_2.30854_9.97022,74.35152,84.6853
19,19,GgB8iZiCT1o_0.00000_2.83333,32.588154,35.602406
20,20,HIZspvfDzDY_0.00000_7.20721,259.40292,70.00565
21,21,IMUfloztTy8_2.60000_10.00000,35.229614,53.182842
22,22,Iq4o6y85Vec_0.00000_6.21455,416.08536,26.542952
23,23,JDdb4kNuKOE_0.00000_9.97664,386.37747,55.803505
24,24,JQu6cUHQTpI_0.00000_4.93744,147.22614,37.2764
25,25,KTt523FY7MI_1.53333_10.00000,21.884554,58.953598
26,26,KdF4TYh6YU4_0.00000_9.53333,85.58799,58.239258
27,27,K29P_UTBYRg_0.00000_9.97664,60.147423,27.74019
28,28,M1xNdRTPKwo_0.00000_6.92359,204.81339,49.23841
29,29,M7Urc9uBjBU_9.04000_10.00000,24.849112,0.35941947
30,30,N0LntA705tY_0.00000_6.68333,1678.6819,95.33367
31,31,OCKdRmWU1nE_0.00000_5.20000,65.651276,14.17374
32,32,OCKdRmWU1nE_5.68000_10.00000,102.93018,30.34441
33,33,O6LHTs3bMG8_1.03333_10.00000,171.14995,263.56287
34,34,PKeK_H-DOvU_0.00000_9.20000,18.785788,37.181095
35,35,Qdz2TK3Gd-U_7.80781_9.95996,1004.2878,151.17062
36,36,QvHRHdDaSI8_0.00000_4.20690,202.03313,110.77427
37,37,Q2L3tDbuIus_0.00000_6.30000,33.978546,30.362778
38,38,Q2t1S__Hugo_6.06667_10.00000,116.49205,37.636288
39,39,RGq54UYpkmo_0.53387_9.14248,15.122475,14.757553
40,40,RLrJsS3uir8_0.00000_9.10911,54.08683,39.620586
41,41,RQ48AUI_unk_7.86667_10.00000,128.2411,21.049068
42,42,Rj3qGw4wXDk_4.53333_9.66667,133.25377,11.115695
43,43,RlDSusLqfPU_0.66733_7.42409,290.7196,176.09512
44,44,R9zEwOi7gyU_0.00000_0.40000,134.73943,4.125718
45,45,R9zEwOi7gyU_3.46667_6.23333,34.015564,158.632
46,46,R9zEwOi7gyU_9.60000_10.00000,1150.9166,28.417097
47,47,R98X4gBGuhg_0.00000_10.00000,265.04236,158.2339
48,48,SGXtlWfhh_M_0.00000_4.33767,55.41214,13.1693125
49,49,THGD3_0enHU_0.00000_9.87268,85.07241,36.406425
50,50,TzvT-p_Hq-Y_1.11778_3.60360,253.28941,23.992056
51,51,TzvT-p_Hq-Y_6.30631_9.94328,109.79718,49.60767
52,52,VpUOfMeFx-U_0.00000_4.80000,38.97852,86.65454
53,53,V9yyYRHqWOE_6.44000_10.00000,45.671764,41.7766
54,54,W2bvLjnEsMo_0.08333_9.45833,112.270874,25.446112
55,55,YlDyf8pJ1AY_0.00000_10.00000,347.883,204.76308
56,56,ZAzz9icRTLY_0.00000_6.10611,746.8701,69.72844
57,57,a-APH0A_8FU_5.76667_10.00000,75.3519,71.74678
58,58,bEo2REq5rNo_0.00000_10.00000,434.7458,191.21918
59,59,bP15zMeQFRQ_0.00000_9.00000,109.52819,53.9205
60,60,bb9VlOqeeWo_0.00000_1.46814,138.15852,20.724878
61,61,bb9VlOqeeWo_2.46914_9.10911,159.2307,36.982998
62,62,deifD9uXqHY_2.45000_4.60000,133.94673,54.019844
63,63,dm8jRVaTVU8_0.00000_7.48276,17.576601,9.946126
64,64,e9qMAKsTugA_0.68000_2.48000,146.7615,34.39724
65,65,f0NROisZxSQ_0.00000_9.96830,184.38318,52.74182
66,66,f8WmWqDfDWA_0.00000_7.90791,705.9353,49.161476
