,name,0shot_loss,ESCounts,Gt counts
0,v_JumpRope_g22_c04,377.89786,15.0,11.0
1,v_Hammering_g24_c07,209.64172,11.0,13.0
2,v_PommelHorse_g25_c04,34.72802,4.0,4.0
3,v_HammerThrow_g24_c01,298.47534,4.0,5.0
4,v_HulaHoop_g24_c03,174.55443,6.0,5.0
5,v_BenchPress_g25_c01,267.46222,2.0,3.0
6,v_JumpingJack_g25_c02,12.831795,3.0,3.0
7,v_TableTennisShot_g21_c01,62.72887,2.0,2.0
8,v_BabyCrawling_g21_c04,167.83194,5.0,4.0
9,v_FrontCrawl_g21_c01,182.4047,2.0,2.0
10,v_ShavingBeard_g21_c06,253.72336,3.0,2.0
11,v_HandstandWalking_g21_c04,132.12999,4.0,5.0
12,v_PlayingCello_g23_c06,257.33936,5.0,3.0
13,v_HandstandWalking_g23_c04,407.10318,4.0,5.0
14,v_BabyCrawling_g24_c01,316.8599,5.0,4.0
15,v_Kayaking_g24_c04,252.49565,3.0,4.0
16,v_ShavingBeard_g22_c02,261.1581,8.0,8.0
17,v_JumpRope_g23_c04,591.4641,29.0,32.0
18,v_PommelHorse_g22_c07,259.66757,11.0,8.0
19,v_Biking_g24_c06,292.04498,5.0,7.0
20,v_FrontCrawl_g23_c01,243.89525,4.0,4.0
21,v_CuttingInKitchen_g21_c01,488.15567,8.0,12.0
22,v_HandStandPushups_g21_c04,70.355995,2.0,2.0
23,v_FrontCrawl_g25_c01,19.624378,2.0,2.0
24,v_PommelHorse_g23_c04,87.106995,11.0,10.0
25,v_SoccerJuggling_g21_c05,262.96118,12.0,14.0
26,v_TableTennisShot_g25_c07,213.88481,10.0,14.0
27,v_ShavingBeard_g25_c02,271.51443,11.0,11.0
28,v_TableTennisShot_g22_c01,92.42041,9.0,9.0
29,v_PlayingCello_g21_c03,250.22467,5.0,4.0
30,v_Hammering_g21_c07,1171.2765,7.0,13.0
31,v_BodyWeightSquats_g24_c01,229.3378,5.0,5.0
32,v_PlayingCello_g24_c01,441.11932,10.0,9.0
33,v_PlayingViolin_g25_c02,436.5955,16.0,19.0
34,v_HulaHoop_g21_c03,350.49567,8.0,6.0
35,v_FrontCrawl_g24_c01,71.761536,3.0,3.0
36,v_HandStandPushups_g22_c02,147.89656,3.0,3.0
37,v_Biking_g23_c02,268.78894,32.0,28.0
38,v_HandStandPushups_g24_c02,51.65075,2.0,2.0
39,v_TableTennisShot_g23_c06,141.35095,12.0,13.0
40,v_HammerThrow_g22_c02,287.7926,4.0,5.0
41,v_PlayingCello_g22_c01,594.58734,7.0,2.0
42,v_HandStandPushups_g25_c06,223.56358,3.0,3.0
43,v_HandStandPushups_g23_c04,99.36439,2.0,2.0
44,v_Biking_g22_c04,91.07725,18.0,18.0
45,v_JumpingJack_g24_c03,33.024742,3.0,3.0
46,v_Biking_g25_c04,59.716564,5.0,5.0
47,v_JumpingJack_g22_c01,14.2211895,3.0,3.0
48,v_SoccerJuggling_g23_c01,234.8507,15.0,12.0
49,v_Rowing_g23_c04,172.20638,4.0,3.0
50,v_FrontCrawl_g22_c01,260.59207,4.0,3.0
51,v_HulaHoop_g22_c03,40.504795,5.0,5.0
